fabric_name,color
Lavender 1189,#9891f5
Amethyst 1003,#6764f1
Bright Periwinkle 1048,#3e29f1
Velvet 1857,#2c03e5
Purple 1301,#210785
Midnight 1232,#1a0a4e
Tulip 327,#4725bb
Heliotrope 477,#5227ec
Crocus 142,#7337f3
Morning Glory 495,#7c4bff
Wisteria 1392,#9e72ff
Lilac 1191,#b6a4e5
Orchid Ice 1850,#c1a0ff
Thistle 134,#dab4fe
Princess 844,#e7c7ff
Lupine 1484,#cd7efb
Pansy 258,#cb7cff
Violet 1383,#a252e2
Dahlia 488,#9e52ff
Magenta 1214,#9034ea
Mahogany 1215,#9034ea
Mulberry 80,#4503a6
Hibiscus 188,#340f51
Dk. Violet 1485,#6103ac
Geranium 473,#8d12de
Gumdrop 489,#df3cfc
Ballerina 485,#e381fe
Corsage 487,#ed97ff
Orchid 1266,#f4c7ff
Petunia 24,#fcbfff
Petal 143,#ffacff
Carnation 141,#ff7ef4
Candy Pink 1062,#ff6cff
Sassy Pink 845,#ff45ff
Bright Pink 1049,#ff2aff
Dragon Fruit 1841,#ff2cff
Valentine 451,#e710d5
Cerise 1066,#9e0392
Plum 1294,#892881
Eggplant 1133,#400c51
Raisin 1469,#2a102c
Burgundy 1054,#450b27
Bordeaux 1039,#53003f
Berry 1016,#5f0067
Sangria 481,#9c0057
Deep Rose 1099,#b51a63
Pomegranate 1295,#e70076
Honeysuckle 490,#ff10c2
Azalea 419,#ff2fba
Blush Pink 1036,#f653c4
Bubble Gum 261,#ff7de3
Med. Pink 1225,#ff9be1
Baby Pink 189,#ffb5f1
Peony 110,#ffb4e5
Pink 1291,#ffb4e0
Foxglove 956,#de94c4
Rose 1310,#cb7792
Woodrose 1393,#fb77c3
Melon 1228,#ff5bae
Camellia 190,#ff389c
Punch 447,#ff2b86
Watermelon 1384,#ff1362
Lipstick 1194,#fe0209
Chili 1838,#f50804
Poppy 1296,#ea0106
Tomato 7,#eb0502
Red 1308,#e3000a
Cardinal 1063,#d00006
Wine 1390,#950020
Rich Red 1551,#9f0003
Ruby 352,#9c0000
Chinese Red 1480,#8b0012
Crimson 1091,#6b021e
Garnet 1151,#550d24
Brick 1042,#520e17
Shell 1271,#ffe5ee
Pearl Pink 1283,#ffe2f1
Ballet Slipper 861,#ffcfdd
Dusty Peach 1465,#ffbbcc
Bellini 1144,#ffb5d7
Primrose 274,#ffa1c5
Salmon 1483,#ff6672
Coral 1087,#ff243c
Tiger Lily 957,#f52201
Flame 323,#ff1a00
Pimento 865,#f31702
Cayenne 355,#aa0d0d
Paprika 150,#ad1102
Cocoa 1082,#5e0c04
Brown 1045,#511c18
Cinnamon 1075,#8b1d00
Spice 159,#b32d00
Sienna 1332,#c6352a
Terracotta 482,#c72900
Nectarine 496,#fe4238
Orangeade 853,#fe453d
Creamsicle 185,#ff7b7e
Peach 1281,#ffaaab
Ice Peach 1176,#ffc7c0
Lt. Parfait 1205,#ffdec6
